person;rating;review_bersih
2;1;daftar bca sms jaring putus habis pulsa
3;1;bca buruk login akun susah buka mulut lebar
4;1;daftar atm login mybca blokir aneh hubung bca langgan service aktif
5;1;rumit salah download bca buka password aneh anjing
6;1;nyuruh update versi play store download
7;1;mybca saldo suka potong ribu
9;1;aplikasi kali transaksi qris salah jaring password update dompet digital kesal
10;1;rumit verifikasi wajah kali gagal blokir aplikasi payah
11;1;kecewa layan
12;1;login gilir suruh wilayah
13;1;saldo rekening bank bca hilang
14;1;notifikasi palsu cek login moga depa mudah
15;1;rumit akun
16;1;bca kendala login mybca
17;1;aplikasi seringkali password masuk respon lambat kali tunggu angka pin login ketik cepat ganggu
18;1;salah masuk password kali blokir hubung bca reset verifikasi sms malas mybca mobile rumit
19;1;registrasi ulang selesai login akun salah aplikasi rumit
20;1;debet tuju
21;1;aplikasi buka
22;1;jadul sistem
23;1;bca lapor saldo transfer potong aplikasi
24;1;update berat aplikasi
25;1;astaga bayar gagal
26;1;nyusahin ora
27;1;verifikasi wajah gagal instruksi layar ujung bca blokir suruh pulsa
28;1;bangsat sistem verifikasi internet whatsapp mybca kirim sms pulsa beban jadul zaman buka
29;1;bagus layan susah tunggu saldo transaksi sulit
30;1;pilih bangsat palsu login
31;1;sumpah kesal mobile banking blokir password rest langsung hubung rumit tobat
33;1;blokir aktif
34;1;login jaring bagus mohon perhati desak susah
35;1;rumit kontol verifikasi wajah bodoh
36;1;bug password login masuk
37;1;payah login
38;1;login verifikasi lihat buka kuda nil gagal kali wajah asa senam posisi super terang
39;1;mybca akses sidikjari print
40;1;sulit proses verifikasi wajah instruksi bangsat
41;1;aplikasi buka capek
42;1;kali transfer rekening bca potong ribu mahal saldo hilang malas simpan takut lenyap aplikasi buka ganggu jaring kacau
44;1;susah buka rekening kemarin
45;1;aplikasi salah login gagal transfer update perangkat
46;1;komentar ulas verifikasi kirim
47;1;hormat bca hutang lunas tagih malu nama turun keluarga sial umur hidup
48;1;minta verifikasi pulsa habis login wajah aplikasi tendang halaman bca idnya blokir sampah
49;1;verifikasi wajah payah deposito khawatir login ulang
50;1;maaf bintang mudah saldo cepat habis
51;1;susah login verifikasi buka mulut selesai lelah
52;1;buruk verifikasi wajah it bca biar
53;1;salah masuk makan pulsa aneh
54;1;aplikasi buruk login susah hapus
56;1;ketat custom ruang rot aplikasi mybca maksimal kamera game negatif fakta lapang forum cerita user kena hack perangkat diexploitasi aman awam
57;1;kecewa bca oku blacklist kena imbas anak zaman atm sulit ampun alas paksa okut buang tenaga cuti libur sumatra rantau suruh kasi kampung
58;1;susah rumit suruh video
59;1;rumit verifikasi langgan service bantu bodoh
60;1;tinggal verifikasi wajah instruksi gagal login sistem sesuai diarahin tutup ruang terang kecewa
61;1;mohon maaf registrasi bca password bangsat simpan data
62;1;samsung ultra kamera hirau aplikasi mybca khusus god looking aneh password registrasi pencahayan dev
63;1;password sesuai salah
