review,rating_asli,angka_text,cleaned_review,lowercase,normalisasi,tokenizing,filtering,stemming,stemming_join
ribet,1,ribet,ribet,ribet,rumit,['rumit'],['rumit'],['rumit'],rumit
"mau daftar bca ,setiap sms koneksi terputus sampe ludes pulsa udah 2 hari kya gini aja",1,"mau daftar bca ,setiap sms koneksi terputus sampe ludes pulsa udah  dua  hari kya gini aja",mau daftar bca setiap sms koneksi terputus sampe ludes pulsa udah hari kya gini aja,mau daftar bca setiap sms koneksi terputus sampe ludes pulsa udah hari kya gini aja,akan daftar bca setiap sms koneksi terputus hingga habis pulsa sudah hari seperti gini saja,"['akan', 'daftar', 'bca', 'setiap', 'sms', 'koneksi', 'terputus', 'hingga', 'habis', 'pulsa', 'sudah', 'hari', 'seperti', 'gini', 'saja']","['daftar', 'bca', 'sms', 'koneksi', 'terputus', 'habis', 'pulsa', 'gini']","['daftar', 'bca', 'sms', 'koneksi', 'putus', 'habis', 'pulsa', 'gin']",daftar bca sms koneksi putus habis pulsa gin
"bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener , buka mulut buka mulut udah buka lebar lebar masih aja ga bisa",1,"bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener , buka mulut buka mulut udah buka lebar lebar masih aja ga bisa",bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener buka mulut buka mulut udah buka lebar lebar masih aja ga bisa,bca buruk sekali orang mau masuk akun bca sendiri aja susah bener buka mulut buka mulut udah buka lebar lebar masih aja ga bisa,bca buruk sekali orang akan masuk akun bca sendiri saja susah sangat buka mulut buka mulut sudah buka lebar lebar masih saja tidak bisa,"['bca', 'buruk', 'sekali', 'orang', 'akan', 'masuk', 'akun', 'bca', 'sendiri', 'saja', 'susah', 'sangat', 'buka', 'mulut', 'buka', 'mulut', 'sudah', 'buka', 'lebar', 'lebar', 'masih', 'saja', 'tidak', 'bisa']","['bca', 'buruk', 'orang', 'masuk', 'akun', 'bca', 'susah', 'buka', 'mulut', 'buka', 'mulut', 'buka', 'lebar', 'lebar']","['bca', 'buruk', 'orang', 'masuk', 'akun', 'bca', 'susah', 'buka', 'mulut', 'buka', 'mulut', 'buka', 'lebar', 'lebar']",bca buruk orang masuk akun bca susah buka mulut buka mulut buka lebar lebar
"sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh, coba menghubungi halobca kata cs sudah aktif tapi tetep engga bisa log in",1,"sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh, coba menghubungi halobca kata cs sudah aktif tapi tetep engga bisa log in",sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata cs sudah aktif tapi tetep enga bisa log in,sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata cs sudah aktif tapi tetep enga bisa log in,sudah daftar lewat atm terus akan masuk mybca malah diblokir nomor nya aneh coba menghubungi halobca kata customer service sudah aktif tapi tetap tidak bisa log login,"['sudah', 'daftar', 'lewat', 'atm', 'terus', 'akan', 'masuk', 'mybca', 'malah', 'diblokir', 'nomor', 'nya', 'aneh', 'coba', 'menghubungi', 'halobca', 'kata', 'customer', 'service', 'sudah', 'aktif', 'tapi', 'tetap', 'tidak', 'bisa', 'log', 'login']","['daftar', 'atm', 'masuk', 'mybca', 'diblokir', 'nomor', 'aneh', 'menghubungi', 'halobca', 'customer', 'service', 'aktif', 'log', 'login']","['daftar', 'atm', 'masuk', 'mybca', 'blokir', 'nomor', 'aneh', 'hubung', 'halobca', 'customer', 'service', 'aktif', 'log', 'login']",daftar atm masuk mybca blokir nomor aneh hubung halobca customer service aktif log login
ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,1,ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,ribet eror mulu haru download halo bca buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls,rumit kesalahan terus harus download halo bca buat bisa buka iya lagi padahal tidak salah password aneh anjir tidak jelas,"['rumit', 'kesalahan', 'terus', 'harus', 'download', 'halo', 'bca', 'buat', 'bisa', 'buka', 'iya', 'lagi', 'padahal', 'tidak', 'salah', 'password', 'aneh', 'anjir', 'tidak', 'jelas']","['rumit', 'kesalahan', 'download', 'halo', 'bca', 'buka', 'iya', 'salah', 'password', 'aneh', 'anjir']","['rumit', 'salah', 'download', 'halo', 'bca', 'buka', 'iya', 'salah', 'password', 'aneh', 'anjir']",rumit salah download halo bca buka iya salah password aneh anjir
"nyuruh update ke versi terbaru, padahal d play store nya udah install paling teruodate",1,"nyuruh update ke versi terbaru, padahal d play store nya udah install paling teruodate",nyuruh update ke versi terbaru padahal d play store nya udah instal paling teruodate,nyuruh update ke versi terbaru padahal d play store nya udah instal paling teruodate,nyuruh perbarui ke versi terbaru padahal di play store nya sudah unduh paling update,"['nyuruh', 'perbarui', 'ke', 'versi', 'terbaru', 'padahal', 'di', 'play', 'store', 'nya', 'sudah', 'unduh', 'paling', 'update']","['nyuruh', 'perbarui', 'versi', 'terbaru', 'play', 'store', 'unduh', 'update']","['nyuruh', 'baru', 'versi', 'baru', 'play', 'store', 'unduh', 'update']",nyuruh baru versi baru play store unduh update
my bca makin kesini makin gjls masa saldo jadi suka kepotong 50rb,1,my bca makin kesini makin gjls masa saldo jadi suka kepotong  lima  nol rb,my bca makin kesini makin gjls masa saldo jadi suka kepotong rb,my bca makin kesini makin gjls masa saldo jadi suka kepotong rb,my bca makin ke sini makin tidak jelas masa saldo jadi suka kepotong ribu,"['my', 'bca', 'makin', 'ke', 'sini', 'makin', 'tidak', 'jelas', 'masa', 'saldo', 'jadi', 'suka', 'kepotong', 'ribu']","['my', 'bca', 'saldo', 'suka', 'kepotong', 'ribu']","['my', 'bca', 'saldo', 'suka', 'potong', 'ribu']",my bca saldo suka potong ribu
kurang efektif,1,kurang efektif,kurang efektif,kurang efektif,kurang efektif,"['kurang', 'efektif']",['efektif'],['efektif'],efektif
"aplikasi nya kurang, udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan, password dan semua nya sudah benar di coba berkali kali juga tetap begitu, di buat top up ke e walt juga sama aja ngeselin.",1,"aplikasi nya kurang, udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan, password dan semua nya sudah benar di coba berkali kali juga tetap begitu, di buat top up ke e walt juga sama aja ngeselin.",aplikasi nya kurang udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan pasword dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top up ke e walt juga sama aja ngeselin,aplikasi nya kurang udah berapa kali tiap transaksi qr pasti terjadi kesalahan padahal jaringan pasword dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top up ke e walt juga sama aja ngeselin,aplikasi nya kurang sudah berapa kali tiap transaksi barcode pasti terjadi kesalahan padahal jaringan password dan semua nya sudah benar di coba berkali kali juga tetap begitu di buat top perbarui ke ke wallet juga sama saja ngeselin,"['aplikasi', 'nya', 'kurang', 'sudah', 'berapa', 'kali', 'tiap', 'transaksi', 'barcode', 'pasti', 'terjadi', 'kesalahan', 'padahal', 'jaringan', 'password', 'dan', 'semua', 'nya', 'sudah', 'benar', 'di', 'coba', 'berkali', 'kali', 'juga', 'tetap', 'begitu', 'di', 'buat', 'top', 'perbarui', 'ke', 'ke', 'wallet', 'juga', 'sama', 'saja', 'ngeselin']","['aplikasi', 'kali', 'transaksi', 'barcode', 'kesalahan', 'jaringan', 'password', 'berkali', 'kali', 'top', 'perbarui', 'wallet', 'ngeselin']","['aplikasi', 'kali', 'transaksi', 'barcode', 'salah', 'jaring', 'password', 'kali', 'kali', 'top', 'baru', 'wallet', 'ngeselin']",aplikasi kali transaksi barcode salah jaring password kali kali top baru wallet ngeselin
"ribet, verikasi wajah bbrapa kali gagal, malah terblokir, aplikasi payah",1,"ribet, verikasi wajah bbrapa kali gagal, malah terblokir, aplikasi payah",ribet verikasi wajah brapa kali gagal malah terblokir aplikasi payah,ribet verikasi wajah brapa kali gagal malah terblokir aplikasi payah,rumit verikasi wajah berapa kali gagal malah terblokir aplikasi payah,"['rumit', 'verikasi', 'wajah', 'berapa', 'kali', 'gagal', 'malah', 'terblokir', 'aplikasi', 'payah']","['rumit', 'verikasi', 'wajah', 'kali', 'gagal', 'terblokir', 'aplikasi', 'payah']","['rumit', 'verikasi', 'wajah', 'kali', 'gagal', 'blokir', 'aplikasi', 'payah']",rumit verikasi wajah kali gagal blokir aplikasi payah
