rating;review
1;ribet
1;mau daftar bca ,setiap sms koneksi terputus sampe ludes pulsa udah 2 hari kya gini aja
1;bca buruk sekali orang mau masuk akun BCA sendiri aja susah bener , buka mulut buka mulut udah buka lebar lebar masih aja ga bisa
1;sudah daftar lewat atm terus mau masuk mybca malah diblokir nomor nya aneh, coba menghubungi halobca kata cs sudah aktif tapi tetep engga bisa log in
1;ribet eror mulu haru download halo BCA buat bisa buka ya lgi padahal ga salah pw aneh anjir gjls
1;nyuruh update ke versi terbaru, padahal d play store nya udah install paling teruodate
1;my bca makin kesini makin gjls masa saldo jadi suka kepotong 50rb
1;kurang efektif
1;aplikasi nya kurang, udah berapa kali tiap t ansaksi qr pasti terjadi kesalahan padahal jaringan, password dan semua nya sudah benar di coba berkali kali juga tetap begitu, di buat top up ke e walt juga sama aja ngeselin.
1;ribet, verikasi wajah bbrapa kali gagal, malah terblokir, aplikasi payah
1;KECEWA DENGAN PELAYANANNYA!
1;Saya mau login ,giliran disuruh masukkan no HP tidak ada wilayah indonesia . Ga ada kode negara +62
1;kenapah saldo di rekening bank BCA saya hilang
1;tidak ada notif pemasukan dan pengeluaran untuk cek perlu masuk ke beberapa dulu semoga kedepannya lebih memudahkan
1;ribet banget cuma mau buat akun aja
1;kenapa dengan BCA selalu ada kendala setiap login ke my BCA
1;saya sudah pake aplikasi ini lama, tapi kenapa yang sekarang seringkali pas mau masukin pin respon nya lambat. jadi sering kali harus nunggu untuk setiap angka pinnya masuk.. kalau di ketik dengan cepat angka sebelumnya seringkali tidak terketik. ini sangat ganggu buat saya
1;Salah masukin password 3x terblokir lalu hubungi HaloBCA buat reset password, udah bikin password baru TAPI KODE OTP SMS salah mulu padahal benar akhirnya TERBLOKIR LAGI, dah lah males pake MyBCA balik lagi ke BCAMobile aja, ribet.
1;Selalu minta registrasi ulang terus menerus padahal registrasi da selesai gak bisa masuk ke akun da registrasi salah id aplikasi yang luar biasa ribet
1;pendebetan secara sepihak tanpa persetujuan nasabah
1;aplikasi tidak bisa di buka
1;JADUL SISTEM 🤫🤫
1;tolong pihak BCA laporan saya masalah saldo saya yg TF dan kepotong di aplikasi , tapi tidak sampai ke penerima, tolong di kembalikan saldo nya
1;"parah setiap update ga kira"" ,makin berat aja ini mah apk"
1;ettdah buat bayar aja gagal mulu
1;makin nyusahin harus pakek id segala GK semua ora tau id sendiri
1;verifikasi wajah gagal terus padahal sudah mengikuti instruksi di layar, ujung2 BCA id terblokir, suruh tlp Halo BCA..pulsa lg pulsa lg..
1;Di saat sistem lain pakai OTP internet lewat whatsaap dan semacamnya. di myBCA, pengiriman kode OTPnya pakai sms yang pulsanya pun dibebankan ke nasabah, jadul banget. zaman sekarang pakai pulsa? bukannya orang-orang pakai internet sekarang ini.
